10/07/22 06:18--> пользователь выбрал - играть
10/07/22 06:18--> пользователь задал - 10 конфет
10/07/22 06:18--> пользователь задал - 4 конфет за ход
10/07/22 06:18--> пользователь взял - 4 конфет
10/07/22 06:21--> пользователь выбрал - играть
10/07/22 06:21--> пользователь задал - 100 конфет
10/07/22 06:22--> пользователь задал - 5 конфет за ход
10/07/22 06:22--> пользователь взял - 4 конфет
10/07/22 06:22--> пользователь взял - 3 конфет
10/07/22 06:23--> пользователь взял - 3 конфет
10/07/22 06:25--> пользователь выбрал - играть
10/07/22 06:25--> пользователь задал - 10 конфет
10/07/22 06:25--> пользователь задал - 4 конфет за ход
10/07/22 06:25--> пользователь взял - 2 конфет
10/07/22 06:25--> пользователь взял - 1 конфет
10/07/22 06:25--> пользователь взял - 1 конфет
